Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2118774.38,20.0308609,9999.475,,,0.00424259813969323,4.89921532177265E-5,,,,,,,,,5,125,0,6.73499980475754,0.0755307589122187,5.8576052803184E-5,4370,0,20.0118008,20.049921,9999.475,9999.475,0.0250791748776453,20.0384,,,,,,,,,,,,,,,,,,,,,,,20.0308609
,2119068.42,25.0127115,9999.475,,,0.00400247577508438,5.74369470034451E-5,,,,,,,,,5,125,0,6.79700032342225,0.0755307589122187,5.92188918605638E-5,4370,0,25.0048046,25.0206184,9999.475,9999.475,-0.0193797167312219,25.01635,,,,,,,,,,,,,,,,,,,,,,,25.0127115
,2119230.14,30.16001605,9999.475,,,0.00380284993001939,6.36477617335116E-5,,,,,,,,,5,125,0,6.56199983786792,0.0755307589122187,5.92737328387562E-5,4370,0,30.0375404,30.2824917,9999.475,9999.475,-0.0457821438030931,30.59845,,,,,,,,,,,,,,,,,,,,,,,30.16001605
,2119379.80,35.12929535,9999.475,,,0.00363571261663811,6.51850325801171E-5,,,,,,,,,5,125,0,6.92200027406216,0.0755307589122187,5.84607455849463E-5,4370,0,35.0348206,35.2237701,9999.475,9999.475,-0.0479573804687319,35.55125,,,,,,,,,,,,,,,,,,,,,,,35.12929535
,2119531.84,40.16685675,9999.475,,,0.003486956739743,6.47431111861678E-5,,,,,,,,,5,125,0,6.82799995411187,0.0755307589122187,5.71723121597739E-5,4370,0,40.054554,40.2791595,9999.475,9999.475,-0.0488296249347339,40.79975,,,,,,,,,,,,,,,,,,,,,,,40.16685675
,2119685.02,45.15138435,9999.475,,,0.00334774145374335,6.83289309873649E-5,,,,,,,,,5,125,0,6.68699978850782,0.0755307589122187,5.67953407361985E-5,4370,0,45.0384483,45.2643204,9999.475,9999.475,-0.0590725883751012,45.98995,,,,,,,,,,,,,,,,,,,,,,,45.15138435
,2119836.34,50.1440811,9999.475,,,0.00322343140306307,6.50270148325631E-5,,,,,,,,,5,125,0,6.73399963416159,0.0755307589122187,5.60032012061639E-5,4370,0,50.0428505,50.2453117,9999.475,9999.475,-0.0532108626224706,51.108,,,,,,,,,,,,,,,,,,,,,,,50.1440811
,2119989.62,55.16332435,9999.475,,,0.00311240340472149,6.15985718268132E-5,,,,,,,,,5,125,0,6.70300000347197,0.0755307589122187,5.52741359900122E-5,4370,0,55.0543861,55.2722626,9999.475,9999.475,-0.0448318057657818,56.3662,,,,,,,,,,,,,,,,,,,,,,,55.16332435
,2120142.67,60.1719494,9999.475,,,0.00300788045478287,6.17344571653361E-5,,,,,,,,,5,125,0,6.57800005283207,0.0755307589122187,5.45641793856346E-5,4374,0,60.0626602,60.2812386,9999.475,9999.475,-0.0408262174410412,61.62275,,,,,,,,,,,,,,,,,,,,,,,60.1719494
,2120295.28,65.17980955,9999.475,,,0.00292500470983064,6.14675445984478E-5,,,,,,,,,5,125,0,6.62499989848584,0.0755307589122187,5.42748628371191E-5,4374,0,65.0690994,65.2905197,9999.475,9999.475,-0.0469562728527814,66.8187,,,,,,,,,,,,,,,,,,,,,,,65.17980955
